Cluster,Country,Sum,Mean,Std,Max,Min,Median
1,Afghanistan,4248,151.71428571428572,82.95105970919424,377,40,139.0
1,Albania,14571,520.3928571428571,170.55059839753304,836,241,504.0
1,Algeria,20294,724.7857142857143,284.67790208674063,1133,291,782.0
1,Andorra,1941,69.32142857142857,41.329796955732995,184,0,63.5
1,Angola,4871,173.96428571428572,69.73467289071199,349,77,155.0
1,Antigua and Barbuda,15,0.5357142857142857,1.1700630833624395,5,0,0.0
4,Argentina,265186,9470.92857142857,2708.896781438299,13924,4184,9921.0
1,Armenia,47112,1682.5714285714287,613.8125801886791,2476,485,1628.0
1,Australia,300,10.714285714285714,7.735713919301168,38,1,9.0
1,Austria,168608,6021.714285714285,1599.4055112503484,9586,3145,5958.5
1,Azerbaijan,47778,1706.357142857143,787.9543234686995,3646,596,1402.5
1,Bahamas,958,34.214285714285715,22.397680340965774,70,0,33.0
1,Bahrain,5251,187.53571428571428,45.32719087704675,278,114,179.0
1,Bangladesh,50404,1800.142857142857,315.17410994039415,2419,1289,1734.5
1,Barbados,29,1.0357142857142858,1.4267845968170128,6,0,1.0
1,Belarus,32344,1155.142857142857,214.81563400683075,1588,929,1047.5
4,Belgium,214514,7661.214285714285,6311.193784809495,23921,1123,5184.0
1,Belize,2135,76.25,47.27353421352201,201,0,67.0
1,Benin,359,12.821428571428571,24.43896944458231,86,0,0.0
1,Bhutan,41,1.4642857142857142,1.8950646008170384,6,0,1.0
1,Bolivia,3023,107.96428571428571,42.54451450287939,197,34,107.5
1,Bosnia and Herzegovina,38588,1378.142857142857,395.010334068824,1953,547,1373.5
1,Botswana,3709,132.46428571428572,297.1026112982039,1193,0,0.0
3,Brazil,679067,24252.39285714286,11861.696694384693,48655,0,23974.5
1,Brunei,2,0.07142857142857142,0.26226526415648105,1,0,0.0
1,Bulgaria,86647,3094.535714285714,1163.9915197012854,4828,675,3466.5
1,Burkina Faso,291,10.392857142857142,8.986983532636133,32,0,10.0
1,Burma,34570,1234.642857142857,253.70633567553008,1731,598,1211.0
1,Burundi,115,4.107142857142857,4.748015458446908,22,0,2.5
1,Cabo Verde,1928,68.85714285714286,28.69599828304144,134,18,68.5
