Cluster,Country,Sum,Mean,Std,Max,Min,Median
1,Afghanistan,3735,133.39285714285714,74.56358921067867,377,40,117.0
1,Albania,13338,476.35714285714283,168.0575770572372,836,241,489.5
1,Algeria,17894,639.0714285714286,286.20336315173705,1103,263,642.0
1,Andorra,2169,77.46428571428571,59.420960351550434,287,0,66.0
1,Angola,5387,192.39285714285714,74.79272062307305,355,77,194.0
1,Antigua and Barbuda,15,0.5357142857142857,1.1700630833624395,5,0,0.0
3,Argentina,284846,10173.07142857143,2375.93714732573,14308,5331,10476.5
1,Armenia,49316,1761.2857142857142,565.3358134866234,2476,549,1685.0
1,Australia,308,11.0,7.765068982069399,38,1,9.0
3,Austria,163933,5854.75,1826.1431858387186,9586,2456,5958.5
1,Azerbaijan,40885,1460.1785714285713,664.2173926577011,3169,527,1355.0
1,Bahamas,1127,40.25,32.26008312083158,142,0,39.0
1,Bahrain,5616,200.57142857142858,47.400913080304264,280,124,186.0
1,Bangladesh,47774,1706.2142857142858,297.57543172469343,2364,1289,1682.0
1,Barbados,28,1.0,1.632993161855452,6,0,0.0
1,Belarus,30457,1087.75,190.33433060645518,1588,845,993.5
3,Belgium,251495,8981.964285714286,6208.561773468436,23921,1932,6302.5
1,Belize,2004,71.57142857142857,49.87720370806136,201,0,60.0
1,Benin,359,12.821428571428571,24.438969444582305,86,0,0.0
1,Bhutan,39,1.3928571428571428,1.8326116905841259,6,0,1.0
1,Bolivia,3143,112.25,42.280040821312504,197,34,107.5
1,Bosnia and Herzegovina,39551,1412.5357142857142,361.8019186058558,1953,703,1456.5
1,Botswana,3671,131.10714285714286,295.92921316819877,1193,0,0.0
2,Brazil,672151,24005.39285714286,11976.651938449322,48655,0,23974.5
1,Brunei,0,0.0,0.0,0,0,0.0
1,Bulgaria,83135,2969.1071428571427,1205.7661261862522,4828,327,3152.5
1,Burkina Faso,259,9.25,7.643079658532067,26,0,7.5
1,Burma,34060,1216.4285714285713,243.95922983176072,1592,598,1206.0
1,Burundi,101,3.607142857142857,4.716710134972733,22,0,2.0
1,Cabo Verde,1912,68.28571428571429,27.88183683685179,134,18,68.5
1,Cambodia,19,0.6785714285714286,0.8189230248533257,3,0,0.5
1,Cameroon,1958,69.92857142857143,141.23815678214203,632,0,0.0
1,Canada,113033,4036.8928571428573,1020.3005853137275,6027,2336,4318.5
1,Central African Republic,49,1.75,3.1695892945768693,13,0,0.0
1,Chad,199,7.107142857142857,4.524331632360377,19,0,6.0
1,Chile,38601,1378.607142857143,289.3823997419734,1808,840,1521.0
1,China,909,32.464285714285715,11.272655025447701,60,13,30.0
